"","Id","EventId","EventMonth","Paid","PayInd","OpenInd"
"1",1,1,18,8939,1,1
"2",1,2,34,10270,1,0
"3",2,1,12,1607,1,0
"4",4,1,38,6777,1,0
"5",5,1,2,2451,1,1
"6",5,2,4,2589,1,1
"7",5,3,6,2403,1,0
"8",6,1,12,7296,1,0
"9",7,1,27,2000,1,1
"10",7,2,37,1887,1,0
"11",8,1,45,9587,1,0
"12",9,1,16,691,1,0
"13",10,1,28,5650,1,0
"14",11,1,12,6203,1,1
"15",11,2,22,5235,1,0
"16",12,1,22,8183,1,1
"17",12,2,40,10545,1,0
"18",13,1,3,3956,1,0
"19",14,1,27,3207,1,0
"20",15,1,13,1235,1,1
"21",15,2,25,1364,1,1
"22",15,3,33,11740,1,1
"23",15,4,36,1000,1,0
"24",16,1,13,4361,1,1
"25",16,2,20,4276,1,0
"26",17,1,39,3000,1,0
"27",18,1,3,562,1,0
"28",20,1,7,6189,1,1
"29",20,2,11,5219,1,0
"30",21,1,15,12280,1,1
"31",21,2,29,11556,1,0
"32",22,1,7,6677,1,0
"33",23,1,5,1609,1,0
"34",24,1,11,1793,1,1
"35",24,2,17,2000,1,0
"36",25,1,10,1771,1,0
"37",26,1,6,3109,1,1
"38",26,2,8,2723,1,0
"39",27,1,21,7553,1,1
"40",27,2,36,8108,1,0
"41",28,1,8,2287,1,0
"42",29,1,13,2305,1,0
"43",30,1,11,757,1,0
"44",31,1,6,1124,1,1
"45",31,2,12,1200,1,0
"46",32,1,5,2394,1,1
"47",32,2,23,2000,1,1
"48",32,3,35,2485,1,0
"49",33,1,14,4283,1,0
"50",34,1,10,5732,1,1
"51",34,2,16,5423,1,1
"52",34,3,22,5695,1,0
"53",35,1,10,1078,1,1
"54",35,2,14,989,1,0
"55",36,1,7,5651,1,1
"56",36,2,12,5969,1,0
"57",37,1,7,456,1,1
"58",37,2,10,561,1,0
"59",38,1,6,1670,1,1
"60",38,2,12,1489,1,1
"61",38,3,18,1570,1,0
"62",39,1,7,4210,1,0
"63",40,1,3,5688,1,1
"64",40,2,6,5737,1,0
"65",41,1,9,9799,1,1
"66",41,2,15,11672,1,0
"67",42,1,11,1899,1,1
"68",42,2,19,2377,1,1
"69",42,3,32,2654,1,0
"70",43,1,18,2798,1,0
"71",44,1,9,616,1,0
"72",45,1,20,3879,1,0
"73",47,1,3,2217,1,1
"74",47,2,5,2000,1,1
"75",47,3,7,2346,1,0
"76",48,1,6,14189,1,1
"77",48,2,10,10925,1,1
"78",48,3,14,13136,1,0
"79",50,1,3,132,1,0
"80",51,1,6,1636,1,1
